record_id,td_sim_0,record_atd
51,185.0,185.0
116,6.0,6.0
462,76.0,76.0
730,16.0,16.0
767,109.0,109.0
831,52.0,52.0
902,124.0,124.0
953,70.0,70.0
1033,23.0,23.0
1180,22.0,22.0
1248,121.0,121.0
1356,41.0,41.0
1429,584.0,584.0
1514,17.0,17.0
1565,159.0,159.0
1746,148.0,148.0
1881,1266.0,1266.0
1994,67.0,67.0
2279,12.0,12.0
2496,7.0,7.0
2545,349.0,349.0
2624,53.0,53.0
2740,31.0,31.0
2803,386.0,386.0
3076,103.0,103.0
3314,131.0,131.0
3442,114.0,114.0
3608,25.0,25.0
3680,116.0,116.0
3769,62.0,62.0
3842,86.0,86.0
4154,66.0,66.0
4201,11.0,11.0
4269,14.0,14.0
4327,50.0,50.0
4377,68.0,68.0
4461,57.0,57.0
average_simulation_TD,130.45945945945945,
